ingredient_name,unit,opening_stock_kg,quantity_used_kg,quantity_wasted_kg,closing_stock_kg,reorder_level_kg,reorder_triggered,supplier,cost_per_kg_usd,last_restocked,days_until_stockout
Avocado,kg,181.5,56.95,2.72,121.83,34.69,No,LocalFarm,8.77,2024-12-09,45.9
BBQ Sauce,kg,175.64,24.55,3.11,147.98,33.81,No,FreshMart,13.69,2024-03-19,139.5
Basil,kg,145.71,25.44,6.71,113.56,22.76,No,EcoProvide,6.46,2024-03-02,107.1
Basmati Rice,kg,112.35,55.79,1.92,54.64,24.33,No,LocalFarm,5.01,2024-03-15,16.3
Beef Patty,kg,111.35,49.73,2.2,59.42,23.28,No,GlobalFoods,4.16,2024-03-08,21.8
Bell Peppers,kg,172.88,22.79,1.19,148.9,22.19,No,QuickSupply,7.94,2024-11-05,166.8
Biryani Spices,kg,100.56,52.96,2.13,45.47,32.57,No,LocalFarm,1.99,2024-10-27,7.3
Black Pepper,kg,180.34,48.36,6.0,125.98,23.13,No,GlobalFoods,10.91,2024-11-05,63.8
Breadcrumbs,kg,118.73,39.03,5.45,74.25,28.66,No,QuickSupply,3.55,2024-05-23,35.0
Burger Bun,kg,187.31,54.82,2.92,129.57,34.18,No,QuickSupply,4.86,2024-10-02,52.2
Butter,kg,170.43,64.91,5.17,100.35,27.99,No,EcoProvide,13.15,2024-04-20,33.4
Caesar Dressing,kg,125.12,65.26,1.02,58.84,22.16,No,FarmDirect,7.15,2024-11-01,16.9
Cheddar Cheese,kg,86.45,32.3,7.51,46.64,26.29,No,GlobalFoods,7.41,2024-04-06,18.9
Cherry,kg,189.19,56.07,3.34,129.78,28.34,No,FarmDirect,3.3,2024-02-05,54.3
Chicken Breast,kg,138.79,66.63,6.47,65.69,27.45,No,EcoProvide,3.06,2024-06-13,17.2
Chickpeas,kg,177.4,53.43,5.01,118.96,33.57,No,QuickSupply,3.7,2024-04-03,47.9
Chili Flakes,kg,162.95,29.71,4.52,128.72,19.41,No,QuickSupply,3.33,2024-03-22,110.4
Chocolate,kg,99.89,69.58,7.62,22.69,36.79,Yes,GlobalFoods,7.88,2024-02-12,0.0
Chocolate Sauce,kg,103.62,66.94,3.28,33.4,33.88,Yes,GlobalFoods,5.52,2024-01-15,0.0
Coffee Beans,kg,126.17,44.27,1.19,80.71,30.78,No,FarmDirect,4.93,2024-01-22,33.8
Corn,kg,185.29,54.37,7.99,122.93,24.58,No,GlobalFoods,5.19,2024-03-23,54.3
Cream,kg,102.26,69.37,2.76,30.13,26.13,No,QuickSupply,9.84,2024-09-24,1.7
Cream Cheese,kg,159.84,52.25,2.54,105.05,33.54,No,FarmDirect,9.44,2024-01-18,41.1
Croutons,kg,113.55,65.44,5.86,42.25,31.5,No,GlobalFoods,3.72,2024-08-23,4.9
Cucumber,kg,113.4,37.62,2.38,73.4,25.52,No,FarmDirect,12.53,2024-04-29,38.2
Eggs,kg,104.87,46.11,4.56,54.2,38.75,No,LocalFarm,11.28,2024-02-10,10.1
Feta Cheese,kg,167.76,60.33,5.27,102.16,25.49,No,FreshMart,8.62,2024-05-17,38.1
Flour,kg,120.83,44.11,4.99,71.73,19.3,No,FarmDirect,13.89,2024-06-25,35.7
Fresh Basil,kg,177.03,43.85,2.57,130.61,34.3,No,FarmDirect,3.65,2024-01-03,65.9
Garlic,kg,137.85,47.98,7.12,82.75,19.54,No,QuickSupply,8.92,2024-06-04,39.5
Garlic Sauce,kg,140.35,34.9,5.77,99.68,24.27,No,FarmDirect,9.27,2024-06-28,64.8
Graham Crackers,kg,100.18,50.99,2.88,46.31,23.49,No,LocalFarm,13.41,2024-07-13,13.4
Ice,kg,184.33,22.07,5.47,156.79,26.38,No,GlobalFoods,9.71,2024-03-12,177.3
Ice Cream,kg,134.97,66.94,7.55,60.48,18.01,No,GlobalFoods,5.46,2024-03-07,19.0
Ketchup,kg,161.3,38.45,6.61,116.24,32.7,No,LocalFarm,12.62,2024-02-22,65.2
Lamb Meat,kg,175.52,57.3,1.43,116.79,34.51,No,LocalFarm,5.75,2024-07-29,43.1
Lemon,kg,101.35,35.16,1.5,64.69,27.3,No,QuickSupply,6.9,2024-11-26,31.9
Lemons,kg,140.89,59.3,7.54,74.05,36.2,No,FreshMart,10.66,2024-10-18,19.1
Lettuce,kg,128.28,44.19,2.74,81.35,27.33,No,LocalFarm,3.38,2024-05-27,36.7
Mango,kg,181.09,36.25,2.39,142.45,33.73,No,FreshMart,6.71,2024-05-18,90.0
Mayo,kg,182.04,56.63,1.98,123.43,26.98,No,FreshMart,4.98,2024-04-22,51.1
Milk,kg,115.8,22.93,5.66,87.21,37.68,No,GlobalFoods,7.32,2024-06-25,64.8
Mint Leaves,kg,97.92,62.09,2.87,32.96,35.49,Yes,FreshMart,8.99,2024-06-20,0.0
Mozzarella Cheese,kg,161.1,66.79,4.73,89.58,32.31,No,FreshMart,9.12,2024-07-05,25.7
Mushrooms,kg,108.89,68.4,1.55,38.94,39.73,Yes,GlobalFoods,13.89,2024-03-24,0.0
Mustard,kg,168.52,58.57,2.93,107.02,27.77,No,QuickSupply,8.23,2024-02-01,40.6
Nuts,kg,132.18,52.53,5.68,73.97,24.39,No,GlobalFoods,7.68,2024-11-17,28.3
Olive Oil,kg,192.38,31.64,4.27,156.47,32.5,No,FreshMart,7.09,2024-02-10,117.5
Olives,kg,168.14,56.59,6.13,105.42,20.4,No,LocalFarm,13.99,2024-05-28,45.1
Onions,kg,142.85,20.46,3.74,118.65,32.08,No,GlobalFoods,2.54,2024-09-17,126.9
Oregano,kg,137.88,55.82,5.57,76.49,18.56,No,LocalFarm,8.68,2024-01-28,31.1
Pancetta,kg,158.95,58.96,1.43,98.56,21.73,No,GlobalFoods,10.0,2024-05-30,39.1
Paprika,kg,190.1,28.65,1.22,160.23,30.51,No,GlobalFoods,1.41,2024-07-31,135.8
Parmesan Cheese,kg,114.7,64.41,1.6,48.69,19.61,No,QuickSupply,1.71,2024-05-20,13.5
Parsley,kg,162.21,30.35,1.2,130.66,25.66,No,FreshMart,3.98,2024-07-05,103.8
Penne Pasta,kg,167.35,45.68,4.85,116.82,18.86,No,QuickSupply,1.4,2024-08-08,64.3
Pepperoni,kg,133.38,60.49,5.53,67.36,23.88,No,LocalFarm,7.89,2024-06-25,21.6
Pickles,kg,192.47,36.61,1.15,154.71,25.73,No,LocalFarm,10.41,2024-08-22,105.7
Pita Bread,kg,136.9,54.26,1.46,81.18,35.13,No,EcoProvide,6.17,2024-02-23,25.5
