order_id,customer_id,order_date,order_time,day_of_week,week_number,month,season,dish_name,dish_category,quantity_ordered,price_per_item,total_price,payment_method,dine_in_or_takeaway,preparation_time_minutes,table_number,promotion_applied,weather_condition,special_event_or_holiday,customer_rating,ingredient_name,ingredient_quantity_used_kg,current_stock_available_kg,stock_reorder_level_kg,stock_status,estimated_food_waste_kg,order_status,restaurant_branch,peak_hour_flag,delivery_time_minutes,repeat_customer_flag,orders_this_week,total_qty_this_week,rush_day_for_dish,branch_rush_day,dayofweek,age_group,loyalty_tier,dish_category_enc,day_of_week_enc,season_enc,weather_condition_enc,dine_in_or_takeaway_enc,promotion_applied_enc,restaurant_branch_enc,lag_1week_qty,rolling_7day_avg
ORD-10858,CUST-1359,2024-01-01,16:40,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,2,13.49,26.98,Online,Dine-In,15,25.0,No,Snowy,New Year's Day,,Spaghetti,0.3587,113.94,19.95,Adequate,0.0587,Cancelled,Mall Branch,0,,Yes,3,4,Friday,Sunday,0,18-24,Silver,0,0,0,0,0,0,0,,2.0
ORD-10252,CUST-1125,2024-01-01,19:19,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,1,13.49,13.49,Digital Wallet,Dine-In,17,24.0,No,Cold,New Year's Day,5.0,Spaghetti,0.1796,54.47,24.42,Adequate,0.0124,Completed,Downtown,1,,No,3,4,Friday,Saturday,0,55+,Platinum,0,0,0,1,0,0,1,,1.5
ORD-10502,CUST-1418,2024-01-02,18:27,Tuesday,1,1,Winter,Tomato Soup,Soups,5,6.49,32.45,Credit Card,Dine-In,10,7.0,No,Cold,,5.0,Tomatoes,1.715,102.67,33.58,Adequate,0.0946,Completed,Suburbs,1,,Yes,2,8,Saturday,Sunday,1,25-34,Gold,1,1,0,1,0,0,2,,5.0
ORD-10449,CUST-1296,2024-01-02,18:36,Tuesday,1,1,Winter,Cheesecake,Desserts,1,5.09,5.09,Digital Wallet,Takeaway,5,,Yes,Snowy,,4.0,Cream Cheese,0.1238,33.89,24.89,Adequate,0.0341,Pending,Mall Branch,1,21.0,No,1,1,Saturday,Sunday,1,18-24,Bronze,2,1,0,0,1,1,0,,1.0
ORD-10861,CUST-1286,2024-01-02,18:36,Tuesday,1,1,Winter,Classic Burger,Burgers,5,8.99,44.95,Digital Wallet,Dine-In,11,14.0,No,Rainy,,3.0,Beef Patty,0.9251,96.3,33.58,Adequate,0.0533,Completed,Suburbs,1,,Yes,4,11,Monday,Sunday,1,25-34,Bronze,3,1,0,2,0,0,2,,5.0
ORD-10687,CUST-1382,2024-01-03,11:38,Wednesday,1,1,Winter,Classic Burger,Burgers,2,8.99,17.98,Online,Takeaway,12,,No,Cold,,5.0,Beef Patty,0.3531,112.4,23.95,Adequate,0.054,Completed,Suburbs,1,21.0,No,4,11,Monday,Sunday,2,45-54,Bronze,3,2,0,1,1,0,2,,3.5
ORD-10138,CUST-1426,2024-01-03,12:11,Wednesday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Digital Wallet,Dine-In,8,6.0,No,Cloudy,,2.0,Chicken Breast,0.6201,50.39,26.19,Adequate,0.0178,Completed,Airport,1,,No,2,6,Sunday,Saturday,2,45-54,Silver,4,2,0,3,0,0,3,,3.0
ORD-10874,CUST-1380,2024-01-04,11:11,Thursday,1,1,Winter,Iced Coffee,Beverages,1,4.49,4.49,Online,Dine-In,2,13.0,No,Rainy,,4.0,Coffee Beans,0.0175,57.91,20.86,Adequate,0.0117,Completed,Mall Branch,1,,Yes,1,1,Sunday,Sunday,3,18-24,Gold,5,3,0,2,0,0,0,,1.0
ORD-10037,CUST-1287,2024-01-04,11:16,Thursday,1,1,Winter,Tomato Soup,Soups,3,6.49,19.47,Online,Dine-In,12,19.0,No,Cold,,2.0,Tomatoes,1.0448,74.99,31.51,Adequate,0.0275,Completed,City Center,1,,No,2,8,Saturday,Saturday,3,18-24,Silver,1,3,0,1,0,0,4,,4.0
ORD-10848,CUST-1351,2024-01-04,17:38,Thursday,1,1,Winter,Double Cheeseburger,Burgers,1,11.49,11.49,Cash,Dine-In,13,29.0,No,Cloudy,,1.0,Beef Patty,0.3451,86.04,26.53,Adequate,0.0345,Completed,Suburbs,0,,Yes,1,1,Sunday,Sunday,3,35-44,Gold,3,3,0,3,0,0,2,,1.0
ORD-10194,CUST-1498,2024-01-05,11:08,Friday,1,1,Winter,Veggie Burger,Burgers,2,9.49,18.98,Digital Wallet,Takeaway,12,,No,Snowy,,5.0,Veggie Patty,0.347,38.31,34.72,Adequate,0.0301,Completed,Suburbs,1,60.0,No,2,3,Saturday,Sunday,4,55+,Gold,3,4,0,0,1,0,2,,2.0
ORD-10338,CUST-1413,2024-01-05,17:01,Friday,1,1,Winter,Hot Coffee,Beverages,3,2.97,8.91,Online,Dine-In,4,24.0,Yes,Cold,,5.0,Coffee Beans,0.0564,29.83,30.67,Low Stock,0.054,Completed,Suburbs,0,,Yes,1,3,Saturday,Sunday,4,45-54,Platinum,5,4,0,1,0,1,2,,3.0
ORD-10195,CUST-1338,2024-01-06,19:00,Saturday,1,1,Winter,Greek Salad,Salads,3,8.49,25.47,Credit Card,Dine-In,6,24.0,No,Cold,,5.0,Cucumber,0.3666,24.24,23.97,Adequate,0.0334,Pending,City Center,1,,Yes,1,3,Saturday,Saturday,5,18-24,Silver,7,5,0,1,0,0,4,,3.0
ORD-10857,CUST-1290,2024-01-06,18:28,Saturday,1,1,Winter,Pepperoni Pizza,Pizza,1,14.49,14.49,Digital Wallet,Dine-In,16,24.0,No,Cold,,4.0,Pizza Dough,0.2741,32.57,28.15,Adequate,0.0393,Completed,Mall Branch,1,,Yes,1,1,Sunday,Sunday,5,45-54,Gold,6,5,0,1,0,0,0,,1.0
ORD-10102,CUST-1041,2024-01-06,15:50,Saturday,1,1,Winter,Mushroom Soup,Soups,5,6.99,34.95,Debit Card,Takeaway,11,,No,Cold,,2.0,Mushrooms,1.4357,67.01,18.84,Adequate,0.1699,Pending,Suburbs,0,41.0,No,1,5,Sunday,Sunday,5,18-24,Bronze,1,5,0,1,1,0,2,,5.0
ORD-10684,CUST-1244,2024-01-06,15:37,Saturday,1,1,Winter,Shawarma Wrap,Wraps,3,9.99,29.97,Debit Card,Takeaway,12,,No,Snowy,,4.0,Chicken Breast,0.6236,85.25,22.72,Adequate,0.0524,Pending,Downtown,0,27.0,Yes,2,6,Sunday,Saturday,5,35-44,Platinum,4,5,0,0,1,0,1,,3.0
