order_id,customer_id,order_date,order_time,day_of_week,week_number,month,season,dish_name,dish_category,quantity_ordered,price_per_item,total_price,payment_method,dine_in_or_takeaway,preparation_time_minutes,table_number,promotion_applied,weather_condition,special_event_or_holiday,customer_rating,ingredient_name,ingredient_quantity_used_kg,current_stock_available_kg,stock_reorder_level_kg,stock_status,estimated_food_waste_kg,order_status,restaurant_branch,peak_hour_flag,delivery_time_minutes,repeat_customer_flag,orders_this_week,total_qty_this_week,rush_day_for_dish,branch_rush_day
ORD-10858,CUST-1359,2024-01-01,16:40,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,2,13.49,26.98,Online,Dine-In,15,25,No,Snowy,New Year's Day,,Spaghetti,0.3587,113.94,19.95,Adequate,0.0587,Cancelled,Mall Branch,0,,Yes,3,4,Friday,Sunday
ORD-10858,CUST-1359,2024-01-01,16:40,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,2,13.49,26.98,Digital Wallet,Dine-In,18,25,No,Snowy,New Year's Day,,Eggs,0.2016,101.3,29.49,Adequate,0.0517,Cancelled,Mall Branch,0,,Yes,3,4,Friday,Sunday
ORD-10858,CUST-1359,2024-01-01,16:40,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,2,13.49,26.98,Digital Wallet,Dine-In,16,25,No,Snowy,New Year's Day,,Pancetta,0.1524,69.95,26.39,Adequate,0.0934,Cancelled,Mall Branch,0,,Yes,3,4,Friday,Sunday
ORD-10858,CUST-1359,2024-01-01,16:40,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,2,13.49,26.98,Cash,Dine-In,17,25,No,Snowy,New Year's Day,,Parmesan Cheese,0.1043,117.61,30.82,Adequate,0.077,Cancelled,Mall Branch,0,,Yes,3,4,Friday,Sunday
ORD-10858,CUST-1359,2024-01-01,16:40,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,2,13.49,26.98,Credit Card,Dine-In,16,25,No,Snowy,New Year's Day,,Black Pepper,0.0098,56.38,15.93,Adequate,0.0532,Cancelled,Mall Branch,0,,Yes,3,4,Friday,Sunday
ORD-10858,CUST-1359,2024-01-01,16:40,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,2,13.49,26.98,Cash,Dine-In,17,25,No,Snowy,New Year's Day,,Garlic,0.0209,109.47,29.59,Adequate,0.022,Cancelled,Mall Branch,0,,Yes,3,4,Friday,Sunday
ORD-10252,CUST-1125,2024-01-01,19:19,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,1,13.49,13.49,Digital Wallet,Dine-In,17,24,No,Cold,New Year's Day,5.0,Spaghetti,0.1796,54.47,24.42,Adequate,0.0124,Completed,Downtown,1,,No,3,4,Friday,Saturday
ORD-10252,CUST-1125,2024-01-01,19:19,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,1,13.49,13.49,Credit Card,Dine-In,18,24,No,Cold,New Year's Day,5.0,Eggs,0.0997,57.63,24.27,Adequate,0.0371,Completed,Downtown,1,,No,3,4,Friday,Saturday
ORD-10252,CUST-1125,2024-01-01,19:19,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,1,13.49,13.49,Digital Wallet,Dine-In,18,24,No,Cold,New Year's Day,5.0,Pancetta,0.0791,51.84,33.71,Adequate,0.0164,Completed,Downtown,1,,No,3,4,Friday,Saturday
ORD-10252,CUST-1125,2024-01-01,19:19,Monday,1,1,Winter,Spaghetti Carbonara,Pasta,1,13.49,13.49,Online,Dine-In,15,24,No,Cold,New Year's Day,5.0,Parmesan Cheese,0.0489,87.47,32.45,Adequate,0.0237,Completed,Downtown,1,,No,3,4,Friday,Saturday
