dish_name,dish_category,week_number,total_orders,total_qty,total_revenue,avg_rating,rush_day_for_dish
BBQ Chicken Pizza,Pizza,3,1,2,31.98,,Monday
BBQ Chicken Pizza,Pizza,4,2,5,79.95,4.5,Monday
BBQ Chicken Pizza,Pizza,5,1,1,15.99,4.0,Monday
BBQ Chicken Pizza,Pizza,7,2,3,47.97,4.5,Monday
BBQ Chicken Pizza,Pizza,9,1,2,27.18,5.0,Monday
BBQ Chicken Pizza,Pizza,10,1,3,47.97,5.0,Monday
BBQ Chicken Pizza,Pizza,11,1,1,15.99,,Monday
BBQ Chicken Pizza,Pizza,13,2,3,47.97,5.0,Monday
BBQ Chicken Pizza,Pizza,14,3,6,95.94,3.0,Monday
BBQ Chicken Pizza,Pizza,15,1,3,47.97,,Monday
BBQ Chicken Pizza,Pizza,16,4,9,141.51,4.25,Monday
BBQ Chicken Pizza,Pizza,19,1,1,13.59,1.0,Monday
BBQ Chicken Pizza,Pizza,20,1,2,31.98,4.0,Monday
BBQ Chicken Pizza,Pizza,25,1,4,63.96,3.0,Monday
BBQ Chicken Pizza,Pizza,26,1,3,47.97,5.0,Monday
BBQ Chicken Pizza,Pizza,27,2,3,47.97,5.0,Monday
BBQ Chicken Pizza,Pizza,28,2,3,47.97,4.5,Monday
BBQ Chicken Pizza,Pizza,29,1,4,63.96,4.0,Monday
BBQ Chicken Pizza,Pizza,30,1,3,47.97,4.0,Monday
BBQ Chicken Pizza,Pizza,31,1,2,31.98,,Monday
BBQ Chicken Pizza,Pizza,32,1,4,63.96,,Monday
BBQ Chicken Pizza,Pizza,34,2,5,79.95,4.0,Monday
BBQ Chicken Pizza,Pizza,35,2,3,47.97,4.0,Monday
BBQ Chicken Pizza,Pizza,36,4,8,127.92,4.75,Monday
BBQ Chicken Pizza,Pizza,37,2,4,63.96,2.0,Monday
BBQ Chicken Pizza,Pizza,38,3,7,109.53,5.0,Monday
BBQ Chicken Pizza,Pizza,41,1,2,31.98,5.0,Monday
BBQ Chicken Pizza,Pizza,42,1,1,15.99,,Monday
BBQ Chicken Pizza,Pizza,46,1,3,47.97,5.0,Monday
BBQ Chicken Pizza,Pizza,47,2,3,45.57,4.0,Monday
BBQ Chicken Pizza,Pizza,48,3,5,79.95,3.5,Monday
BBQ Chicken Pizza,Pizza,49,2,5,72.75,5.0,Monday
BBQ Chicken Pizza,Pizza,51,1,1,15.99,4.0,Monday
Caesar Salad,Salads,3,1,3,26.97,5.0,Tuesday
Caesar Salad,Salads,5,1,2,17.98,2.0,Tuesday
Caesar Salad,Salads,8,1,2,17.98,,Tuesday
Caesar Salad,Salads,9,1,1,8.99,4.0,Tuesday
Caesar Salad,Salads,14,1,3,26.97,4.0,Tuesday
Caesar Salad,Salads,16,1,1,8.99,5.0,Tuesday
Caesar Salad,Salads,22,1,1,8.99,3.0,Tuesday
Caesar Salad,Salads,23,2,3,26.97,3.5,Tuesday
Caesar Salad,Salads,25,1,1,8.99,4.0,Tuesday
Caesar Salad,Salads,27,2,3,26.97,5.0,Tuesday
Caesar Salad,Salads,29,1,2,17.98,,Tuesday
Caesar Salad,Salads,30,1,1,8.99,4.0,Tuesday
Caesar Salad,Salads,34,1,2,17.98,5.0,Tuesday
Caesar Salad,Salads,35,1,5,44.95,1.0,Tuesday
Caesar Salad,Salads,36,1,1,8.99,,Tuesday
Caesar Salad,Salads,42,2,3,26.97,3.0,Tuesday
Caesar Salad,Salads,47,3,7,62.93,4.0,Tuesday
Cheesecake,Desserts,1,1,1,5.09,4.0,Saturday
Cheesecake,Desserts,8,1,4,23.96,4.0,Saturday
Cheesecake,Desserts,11,1,1,5.99,4.0,Saturday
Cheesecake,Desserts,12,1,2,11.98,5.0,Saturday
Cheesecake,Desserts,16,2,4,23.96,4.0,Saturday
Cheesecake,Desserts,20,2,2,11.08,4.0,Saturday
Cheesecake,Desserts,23,1,2,10.18,,Saturday
Cheesecake,Desserts,26,1,2,11.98,4.0,Saturday
Cheesecake,Desserts,27,2,5,28.15,,Saturday
Cheesecake,Desserts,28,1,4,23.96,4.0,Saturday
Cheesecake,Desserts,31,1,3,15.27,5.0,Saturday
Cheesecake,Desserts,35,2,6,35.94,5.0,Saturday
Cheesecake,Desserts,37,1,4,23.96,4.0,Saturday
Cheesecake,Desserts,40,1,3,17.97,,Saturday
Cheesecake,Desserts,41,1,1,5.99,,Saturday
Cheesecake,Desserts,49,2,5,29.95,4.0,Saturday
Cheesecake,Desserts,51,2,5,29.95,2.5,Saturday
Chicken Biryani,Rice Dishes,2,1,4,55.96,,Friday
Chicken Biryani,Rice Dishes,4,1,1,13.99,4.0,Friday
Chicken Biryani,Rice Dishes,5,1,2,23.78,4.0,Friday
Chicken Biryani,Rice Dishes,7,1,1,11.89,4.0,Friday
Chicken Biryani,Rice Dishes,8,1,4,55.96,3.0,Friday
Chicken Biryani,Rice Dishes,10,3,7,97.93,4.0,Friday
Chicken Biryani,Rice Dishes,13,3,7,97.93,5.0,Friday
Chicken Biryani,Rice Dishes,14,4,7,93.73,4.0,Friday
Chicken Biryani,Rice Dishes,15,1,3,41.97,4.0,Friday
Chicken Biryani,Rice Dishes,16,1,1,13.99,5.0,Friday
Chicken Biryani,Rice Dishes,18,1,2,27.98,,Friday
Chicken Biryani,Rice Dishes,19,2,2,27.98,2.5,Friday
Chicken Biryani,Rice Dishes,20,1,1,13.99,4.0,Friday
Chicken Biryani,Rice Dishes,21,1,2,23.78,,Friday
Chicken Biryani,Rice Dishes,22,1,1,11.89,,Friday
Chicken Biryani,Rice Dishes,23,1,1,13.99,,Friday
Chicken Biryani,Rice Dishes,25,1,1,13.99,,Friday
Chicken Biryani,Rice Dishes,28,1,1,13.99,5.0,Friday
Chicken Biryani,Rice Dishes,31,2,9,107.01,4.5,Friday
Chicken Biryani,Rice Dishes,32,1,1,13.99,,Friday
Chicken Biryani,Rice Dishes,36,1,1,13.99,4.0,Friday
Chicken Biryani,Rice Dishes,37,2,5,69.95,4.0,Friday
Chicken Biryani,Rice Dishes,38,1,2,23.78,,Friday
Chicken Biryani,Rice Dishes,39,1,2,27.98,5.0,Friday
Chicken Biryani,Rice Dishes,40,1,2,27.98,,Friday
Chicken Biryani,Rice Dishes,42,2,4,55.96,4.5,Friday
Chicken Biryani,Rice Dishes,43,2,3,41.97,4.0,Friday
Chicken Biryani,Rice Dishes,44,3,6,77.64,3.67,Friday
Chicken Biryani,Rice Dishes,46,3,7,97.93,4.0,Friday
Chicken Biryani,Rice Dishes,47,2,9,117.51,5.0,Friday
Chicken Biryani,Rice Dishes,50,1,1,13.99,,Friday
Chocolate Lava Cake,Desserts,2,2,6,41.94,2.0,Friday
Chocolate Lava Cake,Desserts,3,1,1,6.99,2.0,Friday
Chocolate Lava Cake,Desserts,4,1,1,5.94,5.0,Friday
Chocolate Lava Cake,Desserts,7,1,2,13.98,,Friday
Chocolate Lava Cake,Desserts,9,1,1,6.99,4.0,Friday
Chocolate Lava Cake,Desserts,10,1,1,6.99,2.0,Friday
Chocolate Lava Cake,Desserts,14,2,3,18.87,4.0,Friday
Chocolate Lava Cake,Desserts,16,2,2,12.93,5.0,Friday
Chocolate Lava Cake,Desserts,17,1,3,20.97,4.0,Friday
Chocolate Lava Cake,Desserts,20,1,2,13.98,,Friday
Chocolate Lava Cake,Desserts,25,1,4,23.76,4.0,Friday
Chocolate Lava Cake,Desserts,28,1,5,34.95,5.0,Friday
Chocolate Lava Cake,Desserts,36,1,4,27.96,3.0,Friday
Chocolate Lava Cake,Desserts,39,1,2,11.88,5.0,Friday
Chocolate Lava Cake,Desserts,47,1,4,27.96,,Friday
Chocolate Lava Cake,Desserts,48,1,1,6.99,2.0,Friday
Chocolate Lava Cake,Desserts,49,2,6,39.84,4.0,Friday
Chocolate Lava Cake,Desserts,50,1,2,11.88,,Friday
Chocolate Lava Cake,Desserts,51,1,1,6.99,5.0,Friday
Classic Burger,Burgers,1,4,11,98.89,4.0,Monday
Classic Burger,Burgers,2,4,8,71.92,4.33,Monday
Classic Burger,Burgers,3,1,3,26.97,2.0,Monday
Classic Burger,Burgers,4,3,5,39.55,3.0,Monday
Classic Burger,Burgers,8,2,3,26.97,3.0,Monday
Classic Burger,Burgers,9,2,3,26.97,3.5,Monday
Classic Burger,Burgers,11,1,3,26.97,4.0,Monday
Classic Burger,Burgers,12,1,2,15.28,,Monday
Classic Burger,Burgers,13,1,1,8.99,4.0,Monday
Classic Burger,Burgers,15,1,2,17.98,4.0,Monday
Classic Burger,Burgers,16,3,4,33.26,3.0,Monday
Classic Burger,Burgers,17,1,3,26.97,5.0,Monday
Classic Burger,Burgers,18,3,7,62.93,3.5,Monday
Classic Burger,Burgers,20,1,3,26.97,4.0,Monday
Classic Burger,Burgers,21,1,1,7.64,4.0,Monday
Classic Burger,Burgers,22,1,1,8.99,4.0,Monday
Classic Burger,Burgers,23,2,7,57.53,4.0,Monday
Classic Burger,Burgers,24,1,3,26.97,4.0,Monday
Classic Burger,Burgers,25,2,4,35.96,4.0,Monday
Classic Burger,Burgers,26,2,2,16.63,2.5,Monday
Classic Burger,Burgers,27,1,1,8.99,4.0,Monday
Classic Burger,Burgers,28,3,9,80.91,3.33,Monday
Classic Burger,Burgers,31,1,1,8.99,3.0,Monday
Classic Burger,Burgers,32,3,8,71.92,3.5,Monday
Classic Burger,Burgers,33,1,1,8.99,4.0,Monday
Classic Burger,Burgers,34,3,7,62.93,4.0,Monday
Classic Burger,Burgers,35,1,2,17.98,4.0,Monday
Classic Burger,Burgers,36,3,7,62.93,3.5,Monday
Classic Burger,Burgers,39,4,15,134.85,3.0,Monday
Classic Burger,Burgers,40,2,6,53.94,5.0,Monday
Classic Burger,Burgers,41,4,7,58.88,3.33,Monday
Classic Burger,Burgers,42,3,4,35.96,3.5,Monday
Classic Burger,Burgers,44,2,5,44.95,4.5,Monday
Classic Burger,Burgers,45,3,4,34.61,3.0,Monday
Classic Burger,Burgers,46,2,4,35.96,3.5,Monday
Classic Burger,Burgers,47,3,5,43.6,4.33,Monday
Classic Burger,Burgers,48,2,4,35.96,3.5,Monday
Classic Burger,Burgers,50,3,6,53.94,3.0,Monday
Classic Burger,Burgers,51,4,12,107.88,3.75,Monday
Classic Burger,Burgers,52,1,2,17.98,5.0,Monday
Double Cheeseburger,Burgers,1,1,1,11.49,1.0,Sunday
Double Cheeseburger,Burgers,2,3,4,40.8,3.5,Sunday
Double Cheeseburger,Burgers,4,3,8,88.48,4.0,Sunday
Double Cheeseburger,Burgers,6,3,7,73.55,2.5,Sunday
Double Cheeseburger,Burgers,7,1,4,45.96,4.0,Sunday
Double Cheeseburger,Burgers,8,2,3,32.75,4.5,Sunday
Double Cheeseburger,Burgers,11,1,3,34.47,3.0,Sunday
Double Cheeseburger,Burgers,12,1,2,19.54,,Sunday
Double Cheeseburger,Burgers,14,1,1,9.77,,Sunday
Double Cheeseburger,Burgers,15,1,1,11.49,,Sunday
Double Cheeseburger,Burgers,16,1,1,11.49,4.0,Sunday
Double Cheeseburger,Burgers,17,2,2,22.98,3.5,Sunday
Double Cheeseburger,Burgers,18,2,2,22.98,4.5,Sunday
Double Cheeseburger,Burgers,20,2,5,57.45,3.5,Sunday
Double Cheeseburger,Burgers,21,1,2,22.98,4.0,Sunday
Double Cheeseburger,Burgers,22,2,5,57.45,5.0,Sunday
Double Cheeseburger,Burgers,26,2,2,22.98,4.0,Sunday
Double Cheeseburger,Burgers,28,2,2,22.98,4.5,Sunday
Double Cheeseburger,Burgers,31,1,5,57.45,5.0,Sunday
Double Cheeseburger,Burgers,32,1,2,22.98,4.0,Sunday
Double Cheeseburger,Burgers,33,2,8,86.76,4.0,Sunday
Double Cheeseburger,Burgers,34,3,9,103.41,3.0,Sunday
Double Cheeseburger,Burgers,37,2,5,54.01,4.0,Sunday
Double Cheeseburger,Burgers,41,1,1,11.49,5.0,Sunday
Double Cheeseburger,Burgers,42,2,2,22.98,3.5,Sunday
Double Cheeseburger,Burgers,43,1,4,45.96,5.0,Sunday
Double Cheeseburger,Burgers,44,1,2,22.98,4.0,Sunday
Double Cheeseburger,Burgers,45,1,3,34.47,3.0,Sunday
Double Cheeseburger,Burgers,46,1,1,11.49,5.0,Sunday
Double Cheeseburger,Burgers,47,1,2,22.98,,Sunday
Double Cheeseburger,Burgers,50,2,2,22.98,3.5,Sunday
Falafel Wrap,Wraps,5,1,1,8.49,,Monday
Falafel Wrap,Wraps,9,2,4,32.69,,Monday
Falafel Wrap,Wraps,10,1,2,16.98,,Monday
Falafel Wrap,Wraps,11,1,1,7.22,2.0,Monday
Falafel Wrap,Wraps,14,2,4,33.96,4.0,Monday
Falafel Wrap,Wraps,15,1,4,33.96,5.0,Monday
Falafel Wrap,Wraps,17,1,2,16.98,2.0,Monday
Falafel Wrap,Wraps,20,1,1,8.49,5.0,Monday
Falafel Wrap,Wraps,21,2,2,15.71,5.0,Monday
Falafel Wrap,Wraps,22,1,2,16.98,5.0,Monday
Falafel Wrap,Wraps,25,1,5,42.45,,Monday
Falafel Wrap,Wraps,26,1,5,42.45,3.0,Monday
Falafel Wrap,Wraps,27,1,3,25.47,5.0,Monday
Falafel Wrap,Wraps,30,4,9,75.14,4.33,Monday
Falafel Wrap,Wraps,31,1,2,16.98,,Monday
Falafel Wrap,Wraps,33,1,2,16.98,5.0,Monday
Falafel Wrap,Wraps,34,2,5,38.64,5.0,Monday
Falafel Wrap,Wraps,36,1,2,16.98,5.0,Monday
Falafel Wrap,Wraps,38,1,2,16.98,5.0,Monday
Falafel Wrap,Wraps,40,1,2,16.98,5.0,Monday
Falafel Wrap,Wraps,43,1,1,8.49,4.0,Monday
Falafel Wrap,Wraps,44,2,5,38.64,4.0,Monday
Falafel Wrap,Wraps,46,1,1,7.22,5.0,Monday
Falafel Wrap,Wraps,48,1,1,8.49,,Monday
Falafel Wrap,Wraps,52,2,3,24.2,5.0,Monday
French Fries,Sides,2,3,7,27.93,4.5,Saturday
French Fries,Sides,4,4,7,27.93,4.5,Saturday
French Fries,Sides,5,1,2,7.98,5.0,Saturday
French Fries,Sides,6,1,1,3.39,3.0,Saturday
French Fries,Sides,7,1,1,3.99,4.0,Saturday
French Fries,Sides,8,2,6,23.94,4.0,Saturday
French Fries,Sides,11,3,7,27.93,4.67,Saturday
French Fries,Sides,12,1,1,3.99,5.0,Saturday
French Fries,Sides,13,1,1,3.99,3.0,Saturday
French Fries,Sides,14,2,6,23.94,4.0,Saturday
French Fries,Sides,15,1,1,3.99,5.0,Saturday
French Fries,Sides,18,4,9,35.91,3.75,Saturday
French Fries,Sides,19,1,5,19.95,4.0,Saturday
French Fries,Sides,20,4,6,23.94,5.0,Saturday
French Fries,Sides,21,1,1,3.99,5.0,Saturday
French Fries,Sides,22,1,1,3.99,4.0,Saturday
French Fries,Sides,23,1,2,7.98,,Saturday
French Fries,Sides,24,2,3,11.97,,Saturday
French Fries,Sides,25,3,5,18.15,4.0,Saturday
French Fries,Sides,26,1,4,15.96,2.0,Saturday
French Fries,Sides,27,2,4,15.96,4.0,Saturday
French Fries,Sides,28,2,2,7.98,4.5,Saturday
French Fries,Sides,30,1,2,7.98,5.0,Saturday
French Fries,Sides,31,1,1,3.99,,Saturday
French Fries,Sides,32,2,2,7.98,3.5,Saturday
French Fries,Sides,33,1,1,3.99,,Saturday
French Fries,Sides,35,3,5,19.95,4.0,Saturday
French Fries,Sides,36,1,3,11.97,4.0,Saturday
French Fries,Sides,37,3,4,15.96,5.0,Saturday
French Fries,Sides,38,1,1,3.99,1.0,Saturday
French Fries,Sides,40,4,8,31.92,3.33,Saturday
French Fries,Sides,41,4,7,27.93,4.0,Saturday
French Fries,Sides,42,3,4,15.36,4.33,Saturday
French Fries,Sides,45,4,12,47.88,3.75,Saturday
French Fries,Sides,46,3,7,27.93,2.5,Saturday
French Fries,Sides,47,4,10,38.1,4.5,Saturday
French Fries,Sides,49,1,2,7.98,5.0,Saturday
French Fries,Sides,51,1,5,19.95,1.0,Saturday
French Fries,Sides,52,2,5,19.95,4.0,Saturday
Greek Salad,Salads,1,1,3,25.47,5.0,Saturday
